IngredientID,IngredientName
1,Spaghetti
2,Eggs
3,Parmesan Cheese
4,Chicken
5,Curry Powder
6,Lettuce
7,Croutons
8,Sushi Rice
9,Nori Sheets
10,Tortillas
11,Avocado
12,Beef
13,Mushrooms
14,Rice Noodles
15,Shrimp
16,Basil
17,Tomatoes
18,Zucchini
19,Eggplant
20,Chickpeas
21,Garlic
22,Olive Oil
23,Beef
24,Mushrooms
25,Rice Noodles
26,Shrimp
27,Basil
28,Tomatoes
29,Zucchini
30,Eggplant
31,Chickpeas
32,Garlic
33,Olive Oil
34,Tortilla
35,Ground Beef
36,Feta Cheese
37,Olives
38,Flour
39,Milk
40,Chicken Thighs
41,Teriyaki Sauce
42,Soy Sauce
